iter	Passed	Remaining
194	4276	17655
195	4299	17637
196	4319	17608
197	4342	17589
198	4364	17567
199	4387	17548
200	4410	17531
201	4431	17505
202	4451	17476
203	4472	17451
204	4496	17438
205	4517	17413
206	4539	17390
207	4561	17370
208	4582	17344
209	4602	17315
210	4626	17301
211	4648	17277
212	4667	17243
213	4688	17218
214	4709	17196
215	4730	17171
216	4751	17143
217	4770	17113
218	4791	17088
219	4812	17061
220	4833	17035
221	4854	17013
222	4874	16983
223	4896	16961
224	4916	16935
225	4938	16913
226	4960	16890
227	4981	16868
228	5003	16845
229	5027	16832
230	5056	16831
231	5076	16805
232	5099	16785
233	5117	16751
234	5138	16728
235	5161	16709
236	5180	16679
237	5202	16655
238	5223	16633
239	5243	16604
240	5263	16577
241	5283	16550
242	5302	16517
243	5324	16495
244	5342	16462
245	5363	16440
246	5385	16419
247	5405	16391
248	5427	16369
249	5447	16342
250	5470	16322
251	5490	16296
252	5511	16273
253	5532	16247
254	5552	16221
255	5573	16198
256	5597	16182
257	5617	16156
258	5640	16136
259	5661	16113
260	5682	16089
261	5703	16065
262	5725	16045
263	5747	16023
264	5769	16002
265	5791	15980
266	5811	15954
267	5832	15931
268	5855	15912
269	5876	15887
270	5898	15868
271	5921	15848
272	5942	15825
273	5963	15802
274	5985	15780
275	6011	15769
276	6034	15751
277	6072	15771
278	6113	15798
279	6143	15797
280	6183	15821
281	6231	15866
282	6278	15905
283	6323	15943
284	6348	15925
285	6372	15909
286	6396	15891
287	6418	15868
288	6441	15847
289	6463	15823
290	6482	15793
291	6504	15771
292	6527	15750
293	6548	15725
294	6572	15707
295	6596	15688
296	6616	15661
297	6636	15633
298	6656	15606
299	6675	15576
300	6695	15548
301	6716	15523
302	6739	15502
303	6760	15477
304	6781	15453
305	6803	15431
306	6822	15400
307	6844	15377
308	6867	15358
309	6891	15339
310	6915	15320
311	6938	15300
312	6960	15276
313	6981	15252
314	7002	15228
315	7024	15205
316	7046	15181
317	7067	15156
318	7090	15137
319	7110	15110
320	7133	15089
321	7153	15063
322	7175	15039
323	7204	15031
324	7225	15006
325	7247	14983
326	7268	14959
327	7290	14936
328	7311	14911
329	7333	14888
330	7354	14864
331	7378	14845
332	7398	14819
333	7417	14790
334	7438	14766
335	7463	14750
336	7490	14735
337	7511	14711
338	7535	14693
339	7559	14673
340	7585	14658
341	7620	14660
342	7644	14642
343	7667	14620
344	7693	14606
345	7718	14588
346	7750	14586
347	7775	14567
348	7920	14774
349	7937	14741
350	7972	14741
351	8129	14965
352	8188	15007
353	8217	14996
354	8249	14988
355	8275	14970
356	8298	14945
357	8346	14968
358	8402	15003
359	8451	15025
360	8504	15054
361	8555	15078
362	8599	15089
363	8646	15106
364	8706	15147
365	8765	15184
366	8824	15219
367	8868	15230
368	8931	15273
369	8994	15315
370	9055	15352
371	9080	15330
372	9120	15331
373	9152	15319
374	9188	15313
375	9214	15292
376	9243	15274
377	9268	15252
378	9293	15226
379	9315	15199
380	9343	15179
381	9367	15154
382	9387	15123
383	9412	15099
384	9438	15076
385	9459	15046
386	9480	15016
387	9503	14989
388	9529	14967
389	9553	14942
390	9597	14948
391	9618	14919
392	9642	14893
393	9670	14873
394	9694	14848
395	9718	14823
396	9750	14809
397	9775	14786
398	9795	14755
399	9818	14728
400	9841	14700
401	9865	14675
402	9895	14659
403	9923	14640
404	9949	14616
405	9971	14588
406	9993	14560
407	10014	14531
408	10038	14504
409	10064	14483
410	10091	14461
411	10110	14430
412	10133	14402
413	10155	14375
414	10180	14350
415	10205	14327
416	10229	14301
417	10252	14274
418	10270	14241
419	10293	14215
420	10315	14186
421	10336	14158
422	10358	14129
423	10381	14103
424	10404	14077
425	10424	14046
426	10447	14019
427	10466	13988
428	10485	13956
429	10505	13925
430	10527	13898
431	10551	13873
432	10573	13846
433	10593	13815
434	10614	13786
435	10634	13756
436	10656	13729
437	10675	13697
438	10693	13665
439	10714	13636
440	10735	13607
441	10755	13578
442	10775	13548
443	10795	13519
444	10817	13491
445	10838	13463
446	10860	13435
447	10883	13410
448	10906	13384
449	10928	13356
450	10949	13328
451	10969	13299
452	10991	13272
453	11009	13240
454	11030	13211
455	11051	13184
456	11071	13154
457	11091	13126
458	11112	13097
459	11135	13072
460	11152	13039
461	11173	13011
462	11191	12980
463	11213	12953
464	11235	12926
465	11256	12899
466	11278	12872
467	11297	12842
468	11318	12814
469	11336	12783
470	11352	12750
471	11371	12720
472	11385	12685
473	11399	12650
474	11416	12618
475	11433	12586
476	11455	12559
477	11469	12525
478	11484	12491
479	11497	12455
480	11511	12420
481	11526	12387
482	11540	12352
483	11555	12319
484	11570	12285
485	11582	12250
486	11595	12215
487	11608	12179
488	11621	12143
489	11633	12107
490	11647	12074
491	11658	12037
492	11671	12003
493	11683	11967
494	11697	11933
495	11709	11898
496	11722	11864
497	11737	11831
498	11751	11798
499	11763	11763
500	11787	11740
501	11800	11706
502	11811	11671
503	11824	11636
504	11838	11604
505	11849	11568
506	11860	11533
507	11871	11497
508	11883	11463
509	11895	11429
510	11906	11393
511	11917	11358
512	11929	11324
513	11942	11291
514	11953	11256
515	11964	11222
516	11976	11189
517	11987	11154
518	11999	11120
519	12010	11086
520	12022	11053
521	12033	11018
522	12044	10985
523	12056	10952
524	12067	10918
525	12079	10885
526	12091	10852
527	12102	10818
528	12113	10785
529	12126	10753
530	12136	10719
531	12148	10687
532	12160	10654
533	12171	10621
534	12183	10589
535	12194	10556
536	12206	10523
537	12217	10491
538	12230	10460
539	12243	10429
540	12255	10397
541	12266	10365
542	12278	10334
543	12290	10302
544	12301	10270
545	12312	10237
546	12324	10206
547	12335	10174
548	12346	10142
549	12357	10110
550	12368	10078
551	12379	10047
552	12390	10015
553	12402	9985
554	12414	9953
555	12425	9922
556	12437	9892
557	12450	9862
558	12461	9830
559	12474	9801
560	12486	9771
561	12500	9742
562	12510	9710
563	12523	9681
564	12535	9651
565	12549	9622
566	12560	9592
567	12573	9562
568	12584	9532
569	12596	9502
570	12609	9473
571	12622	9445
572	12634	9415
573	12647	9386
574	12658	9356
575	12670	9327
576	12682	9297
577	12694	9268
578	12706	9239
579	12716	9208
580	12727	9178
581	12739	9149
582	12750	9119
583	12762	9091
584	12775	9062
585	12787	9033
586	12798	9005
587	12810	8976
588	12820	8946
589	12831	8916
590	12844	8888
591	12856	8860
592	12867	8831
593	12878	8802
594	12890	8774
595	12903	8746
596	12914	8717
597	12925	8689
598	12937	8661
599	12948	8632
600	12959	8603
601	12972	8576
602	12983	8547
603	12994	8519
604	13007	8492
605	13019	8464
606	13031	8437
607	13041	8408
608	13052	8380
609	13064	8352
610	13076	8325
611	13089	8298
612	13099	8270
613	13113	8243
614	13126	8217
615	13141	8191
616	13153	8165
617	13168	8139
618	13191	8119
619	13207	8094
620	13218	8067
621	13229	8039
622	13242	8013
623	13254	7986
624	13266	7959
625	13278	7933
626	13290	7906
627	13302	7879
628	13314	7852
629	13326	7826
630	13338	7800
631	13350	7773
632	13362	7747
633	13373	7720
634	13385	7694
635	13396	7667
636	13408	7640
637	13419	7614
638	13431	7588
639	13442	7561
640	13454	7535
641	13465	7508
642	13477	7482
643	13489	7456
644	13500	7430
645	13512	7404
646	13524	7378
647	13536	7353
648	13548	7327
649	13559	7301
650	13570	7275
651	13581	7249
652	13593	7223
653	13605	7197
654	13616	7172
655	13627	7146
656	13639	7120
657	13650	7095
658	13661	7069
659	13673	7043
660	13686	7019
661	13697	6993
662	13710	6969
663	13722	6944
664	13733	6918
665	13744	6893
666	13756	6867
667	13767	6842
668	13777	6816
669	13787	6791
670	13799	6765
671	13812	6741
672	13824	6717
673	13837	6692
674	13850	6668
675	13860	6643
676	13871	6618
677	13883	6593
678	13895	6569
679	13907	6544
680	13918	6519
681	13931	6495
682	13942	6471
683	13954	6446
684	13966	6422
685	13978	6398
686	13988	6373
687	14001	6349
688	14012	6325
689	14024	6300
690	14036	6277
691	14048	6252
692	14059	6228
693	14071	6204
694	14083	6180
695	14095	6156
696	14107	6132
697	14118	6108
698	14130	6084
699	14142	6060
700	14152	6036
701	14165	6013
702	14177	5989
703	14188	5965
704	14200	5942
705	14212	5918
706	14223	5894
707	14234	5870
708	14245	5846
709	14256	5822
710	14267	5799
711	14278	5775
712	14289	5751
713	14299	5727
714	14310	5704
715	14321	5680
716	14332	5657
717	14343	5633
718	14354	5610
719	14366	5586
720	14377	5563
721	14388	5540
722	14399	5516
723	14412	5494
724	14422	5470
725	14435	5448
726	14448	5425
727	14460	5402
728	14473	5380
729	14485	5357
730	14497	5335
731	14509	5312
732	14519	5288
733	14530	5265
734	14541	5242
735	14551	5219
736	14562	5196
737	14574	5174
738	14585	5151
739	14596	5128
740	14606	5105
741	14617	5082
742	14629	5060
743	14641	5037
744	14655	5016
745	14668	4994
746	14682	4972
747	14701	4952
748	14714	4931
749	14729	4909
750	14742	4887
751	14753	4865
752	14776	4846
753	14915	4866
754	14931	4845
755	14961	4828
756	14984	4810
757	15019	4795
758	15033	4773
759	15047	4751
760	15061	4730
761	15091	4713
762	15161	4709
763	15207	4697
764	15219	4675
765	15232	4653
766	15243	4630
767	15255	4608
768	15272	4587
769	15304	4571
770	15321	4550
771	15337	4529
772	15362	4511
773	15377	4489
774	15392	4468
775	15410	4448
776	15430	4428
777	15446	4407
778	15458	4385
779	15473	4364
780	15485	4342
781	15497	4320
782	15507	4297
783	15518	4275
784	15530	4253
785	15541	4231
786	15555	4210
787	15568	4188
788	15579	4166
789	15590	4144
790	15601	4122
791	15613	4100
792	15623	4078
793	15637	4056
794	15647	4035
795	15658	4013
796	15670	3991
797	15681	3969
798	15693	3947
799	15704	3926
800	15716	3904
801	15727	3882
802	15740	3861
803	15754	3840
804	15766	3819
805	15778	3797
806	15790	3776
807	15806	3756
808	15819	3734
809	15830	3713
810	15841	3691
811	15853	3670
812	15864	3649
813	15877	3628
814	15888	3606
815	15900	3585
816	15912	3564
817	15924	3543
818	15937	3522
819	15947	3500
820	15959	3479
821	15971	3458
822	15983	3437
823	15995	3416
824	16008	3395
825	16021	3375
826	16033	3354
827	16046	3333
828	16058	3312
829	16071	3291
830	16084	3271
831	16094	3249
832	16106	3228
833	16119	3208
834	16131	3187
835	16142	3166
836	16155	3146
837	16167	3125
838	16179	3104
839	16190	3083
840	16201	3063
841	16212	3042
842	16223	3021
843	16236	3001
844	16248	2980
845	16260	2959
846	16271	2939
847	16283	2918
848	16294	2898
849	16305	2877
850	16316	2856
851	16327	2836
852	16339	2815
853	16352	2795
854	16362	2774
855	16374	2754
856	16385	2734
857	16397	2713
858	16411	2693
859	16423	2673
860	16436	2653
861	16447	2633
862	16459	2612
863	16470	2592
864	16481	2572
865	16492	2551
866	16504	2531
867	16515	2511
868	16526	2491
869	16540	2471
870	16551	2451
871	16564	2431
872	16576	2411
873	16587	2391
874	16599	2371
875	16610	2351
876	16622	2331
877	16633	2311
878	16645	2291
879	16657	2271
880	16669	2251
881	16680	2231
882	16693	2211
883	16706	2192
884	16717	2172
885	16729	2152
886	16740	2132
887	16751	2112
888	16764	2093
889	16775	2073
890	16787	2053
891	16798	2033
892	16809	2014
893	16820	1994
894	16832	1974
895	16845	1955
896	16856	1935
897	16868	1916
898	16879	1896
899	16892	1876
900	16904	1857
901	16915	1837
902	16927	1818
903	16938	1798
904	16950	1779
905	16961	1759
906	16972	1740
907	16984	1720
908	16996	1701
909	17008	1682
910	17021	1662
911	17032	1643
912	17042	1624
913	17054	1604
914	17067	1585
915	17080	1566
916	17092	1547
917	17104	1527
918	17117	1508
919	17129	1489
920	17140	1470
921	17154	1451
922	17167	1432
923	17179	1413
924	17191	1393
925	17203	1374
926	17215	1355
927	17226	1336
928	17238	1317
929	17248	1298
930	17259	1279
931	17270	1260
932	17281	1241
933	17294	1222
934	17305	1203
935	17318	1184
936	17330	1165
937	17343	1146
938	17354	1127
939	17365	1108
940	17377	1089
941	17389	1070
942	17402	1051
943	17414	1033
944	17428	1014
945	17442	995
946	17454	976
947	17466	958
948	17478	939
949	17490	920
950	17503	901
951	17514	883
952	17525	864
953	17536	845
954	17550	826
955	17562	808
956	17575	789
957	17588	771
958	17600	752
959	17611	733
960	17622	715
961	17633	696
962	17644	677
963	17655	659
964	17666	640
965	17678	622
966	17690	603
967	17701	585
968	17712	566
969	17723	548
970	17734	529
971	17745	511
972	17755	492
973	17767	474
974	17779	455
975	17789	437
976	17800	419
977	17812	400
978	17823	382
979	17835	363
980	17847	345
981	17859	327
982	17871	309
983	17882	290
984	17894	272
985	17905	254
986	17916	235
987	17929	217
988	17940	199
989	17952	181
990	17965	163
991	17977	144
992	17990	126
993	18004	108
994	18016	90
995	18028	72
996	18041	54
997	18052	36
998	18064	18
999	18075	0
